form,rating,model_name,language,cluster_type,edge_type,weighting,tails
SH L,-21.008499999999998,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
SH M,-26.478499999999997,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
SH N,-25.7785,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
SH R,-18.4365,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
SH W,-20.731,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
T L,-18.496499999999997,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
T R,-15.3115,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
T W,-17.666,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
TH W,-18.6325,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
V L,-20.0285,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
V R,-19.758,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
V W,-20.588,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
Z R,-18.713,English_RCC_COV_onset_tokens_1,English,RCC,COV,lex,TRUE
B L,-11.501,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
B R,-10.619,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
B W,-13.668,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
D G,-20.447,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
D N,-19.386,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
D R,-13.99,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
D W,-15.686,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
F L,-11.501,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
F N,-16.994,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
F R,-10.619,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
F W,-13.668,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
G L,-11.501,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
G R,-10.619,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
G W,-13.668,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
K L,-10.72,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
K M,-16.96,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
K R,-9.833,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
K W,-11.466,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
L M,-21.01,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
L N,-20.688,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
L T,-18.879,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
M L,-15.553,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
M R,-13.99,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
N L,-16.084,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
P K,-16.861,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
P L,-10.98,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
P R,-9.388,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
P W,-12.852,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
R D,-18.749,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
R G,-18.013,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
R L,-15.665,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
R N,-18.193,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
S M,-15.1,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
S N,-12.279,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
S W,-11.052,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
SH L,-15.488,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
SH M,-21.868,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
SH N,-21.121,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
SH R,-12.932,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
SH W,-16.438,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
T L,-13.253,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
T R,-10.325,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
T W,-13.247,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
TH W,-14.339,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
V L,-15.553,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
V R,-13.99,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
V W,-15.686,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
Z R,-13.99,English_RCC_COV_onset_tokens_no_tails_1,English,RCC,COV,lex,FALSE
B L,-13.949,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
B R,-13.718,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
B W,-15.3325,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
D G,-22.244,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
D N,-19.484,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
D R,-13.864,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
D W,-14.028500000000001,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
F L,-13.949,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
F N,-18.6525,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
F R,-13.253499999999999,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
F W,-15.8245,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
G L,-13.971,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
G R,-13.4435,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
G W,-13.733,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
K L,-12.725999999999999,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
K M,-18.653,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
K R,-12.900500000000001,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
K W,-13.229,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
L M,-21.9215,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
L N,-22.0365,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
L T,-21.476,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
M L,-19.561999999999998,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
M R,-19.291,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
N L,-20.1215,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
P K,-19.139,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
P L,-12.542,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
P R,-13.2415,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
P W,-15.3645,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
R D,-21.706000000000003,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
R G,-21.964,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
R L,-20.700499999999998,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
R N,-20.933999999999997,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
S M,-12.4715,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
S N,-12.0505,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
S W,-13.199,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
SH L,-15.7315,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
SH M,-19.205,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
SH N,-19.1385,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
SH R,-14.243500000000001,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
SH W,-15.572,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
T L,-15.215,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
T R,-12.9435,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
T W,-13.149000000000001,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
TH W,-13.426,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
V L,-20.366999999999997,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
V R,-19.9335,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
V W,-20.183,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
Z R,-19.374499999999998,English_RCC_COV_onset_types_1,English,RCC,COV,att,TRUE
B L,-10.759,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
B R,-10.268,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
B W,-12.678,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
D G,-21.253,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
D N,-17.612,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
D R,-10.415,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
D W,-10.838,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
F L,-10.759,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
F N,-16.752,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
F R,-10.268,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
F W,-12.678,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
G L,-10.92,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
G R,-9.971,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
G W,-10.657,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
K L,-10.115,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
K M,-17.312,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
K R,-9.356,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
K W,-10.153,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
L M,-20.092,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
L N,-20.092,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
L T,-20.212,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
M L,-16.974,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
M R,-15.775,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
N L,-16.974,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
P K,-17.948,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
P L,-9.954,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
P R,-9.654,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
P W,-12.174,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
R D,-21.037,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
R G,-21.017,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
R L,-17.51,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
R N,-19.593,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
S M,-10.642,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
S N,-10.642,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
S W,-10.009,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
SH L,-12.584,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
SH M,-17.333,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
SH N,-17.333,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
SH R,-10.837,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
SH W,-12.984,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
T L,-12.139,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
T R,-9.82,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
T W,-10.494,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
TH W,-10.838,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
V L,-17.779,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
V R,-16.389,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
V W,-17.064,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
Z R,-16.389,English_RCC_COV_onset_types_no_tails_1,English,RCC,COV,att,FALSE
B L,-16.2585,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
B R,-15.2575,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
B W,-16.808,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
D G,-23.9745,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
D N,-24.461,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
D R,-18.7105,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
D W,-20.3955,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
F L,-16.3505,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
F N,-21.666,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
F R,-15.181999999999999,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
F W,-17.542,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
G L,-16.3505,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
G R,-15.349499999999999,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
G W,-17.3045,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
K L,-16.183,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
K M,-21.773,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
K R,-15.587,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
K W,-17.3045,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
L M,-24.7715,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
L N,-24.505499999999998,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
L T,-22.610500000000002,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
M L,-20.21,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
M R,-18.473,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
N L,-19.947,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
P K,-20.709,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
P L,-16.183,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
P R,-15.349499999999999,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
P W,-17.213,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
R D,-23.197499999999998,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
R G,-23.23,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
R L,-21.0825,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
R N,-23.692999999999998,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
S M,-18.7075,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
S N,-17.127499999999998,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
S W,-16.0265,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
SH L,-19.962,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
SH M,-24.5265,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
SH N,-24.1985,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
SH R,-18.768,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
SH W,-19.685000000000002,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
T L,-17.299500000000002,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
T R,-15.148,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
T W,-17.478499999999997,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
TH W,-18.155,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
V L,-20.21,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
V R,-19.04,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
V W,-20.066000000000003,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
Z R,-18.634999999999998,English_RCC_KLD_onset_tokens_1,English,RCC,KLD,lex,TRUE
B L,-11.145,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
B R,-9.948,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
B W,-12.279,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
D G,-19.355,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
D N,-20.171,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
D R,-13.401,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
D W,-15.37,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
F L,-11.145,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
F N,-16.809,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
F R,-9.948,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
F W,-12.279,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
G L,-11.145,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
G R,-9.948,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
G W,-12.279,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
K L,-11.145,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
K M,-17.321,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
K R,-9.948,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
K W,-12.279,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
L M,-20.152,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
L N,-19.978,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
L T,-17.817,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
M L,-15.172,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
M R,-13.401,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
N L,-14.503,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
P K,-16.257,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
P L,-11.145,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
P R,-9.948,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
P W,-12.279,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
R D,-19.075,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
R G,-18.373,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
R L,-15.969,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
R N,-19.242,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
S M,-14.088,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
S N,-13.005,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
S W,-11.093,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
SH L,-14.519,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
SH M,-20.237,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
SH N,-19.671,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
SH R,-13.129,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
SH W,-14.827,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
T L,-12.094,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
T R,-9.913,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
T W,-12.95,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
TH W,-13.297,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
V L,-15.172,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
V R,-13.401,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
V W,-15.37,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
Z R,-13.401,English_RCC_KLD_onset_tokens_no_tails_1,English,RCC,KLD,lex,FALSE
B L,-13.785499999999999,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
B R,-13.586,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
B W,-15.128,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
D G,-22.7135,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
D N,-20.0725,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
D R,-13.722,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
D W,-13.9565,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
F L,-13.7835,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
F N,-18.907,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
F R,-13.089500000000001,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
F W,-15.593499999999999,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
G L,-13.8825,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
G R,-13.371500000000001,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
G W,-13.693000000000001,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
K L,-12.577,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
K M,-18.572499999999998,English_RCC_KLD_onset_types_1,English,RCC,KLD,att,TRUE
